dose,Quantity of a medicine to be taken at one time or within a given period
"dose, loading",One or a series of doses that may be given at the start of therapy with the aim of achieving the target concentration rapidly
drug efficacy,"Capacity of an antimalarial medicine to achieve the therapeutic objective when administered at a recommended dose, which is well tolerated and has minimal toxicity"
drug resistance,The ability of a parasite strain to survive and/or multiply despite the absorption of a medicine given in doses equal to or higher than those usually recommended
drug safety,(see Medicine safety)
"drug, gametocytocidal","A drug that kills male and/or female gametocytes, thus preventing them from infecting a mosquito"
"drug, schizontocidal","A drug that kills schizonts, either in the liver or the blood"
endemic area,"An area in which there is an ongoing, measurable incidence of malaria infection and mosquito-borne transmission over a succession of years"
"endemicity, level of",Degree of malaria transmission in an area
endophagy,Tendency of mosquitoes to blood-feed indoors
endophily,Tendency of mosquitoes to rest indoors
entomological inoculation rate (EIR),"Number of infective bites received per person in a given unit of time, in a human population"
epidemic,Occurrence of a number of malaria cases highly in excess of that expected in a given place and time
epidemiological investigation,"Study of the environmental, human and entomological factors that determine the incidence or prevalence of infection or disease"
erythrocytic cycle,"Portion of the life cycle of the malaria parasite from merozoite invasion of red blood cells to schizont rupture. The duration is approximately 24 h in P. knowlesi , 48 h in P. falciparum , P. ovale and P. vivax, and 72 h in P. malariae ."
exophagy,Tendency of mosquitoes to feed outdoors
exophily,Tendency of mosquitoes to rest outdoors
experimental huts,"For vector investigations, simulated house with entry and exit traps for sampling mosquitoes entering and exiting, blood-feeding indoors (when a host is present), and surviving or dying in each sub-sample, per day or night"
fixed-dose combination,"A combination in which two antimalarial medicines are formulated together in the same tablet, capsule, powder, suspension or granule"
"focus, malaria",A defined circumscribed area situated in a currently or formerly malarious area that contains the epidemiological and ecological factors necessary for malaria transmission
gametocyte,Sexual stage of malaria parasites that can potentially infect anopheline mosquitoes when ingested during a blood meal
gametocyte rate,Percentage of individuals in a defined population in whom sexual forms of malaria parasites have been detected
geographical reconnaissance,Censuses and mapping to determine the distribution of the human population and other features relevant for malaria transmission in order to guide interventions
"gonotrophic cycle, mosquito","The period of reproductive development in the female mosquito, including host-seeking, blood feeding, digestion of a blood meal, ovarian development, search for a breeding site and oviposition."
gonotrophic discordance (dissociation),Female mosquitoes that take more than one blood meal per gonotrophic cycle
