chemotherapy,
prophylaxis,"Any method of protection from or prevention of disease; when applied to chemotherapy, it is commonly termed 'chemoprophylaxis'."
"prophylaxis, causal",Complete prevention of erythrocytic infection by destroying the pre-erythrocytic forms of the parasite
rapid diagnostic test (RDT),Immunochromatographic lateral flow device for rapid detection of malaria parasite antigens
"rapid diagnostic test, combination",Malaria rapid diagnostic test that can detect a number of different malaria species
rapid diagnostic test positivity rate,Proportion of positive results among all rapid diagnostic tests performed
reactive case detection and treatment,"Parasitological screening of every person living with or near a person who has a confirmed malaria case, and/or every person who was likely exposed to infection at the same time and place as the index case, and treating those with a malaria positive test result"
reactive drug administration,"Administration of a full treatment course of an antimalarial medicine as chemoprevention to every person living with or near a person with a confirmed malaria infection, and/or to every person who was likely exposed to infection at the same time and place as the index case"
reactive indoor residual spraying,Application of residual insecticide to the interior surfaces of dwellings in the location of the index case and neighboring houses at approximately the same time
receptivity,Receptivity of an ecosystem to transmission of malaria
recrudescence,"Recurrence of asexual parasitaemia of the same genotype(s) that caused the original illness, due to incomplete clearance of asexual parasites after antimalarial treatment"
recurrence,"Reappearance of asexual parasitaemia after treatment, due to recrudescence, relapse (in P. vivax and P. ovale infections only) or a new infection"
reinfection,"A new infection that follows a primary infection; can be distinguished from recrudescence by the parasite genotype, which is often (but not always) different from that which caused the initial infection"
reintroduction risk,The risk that endemic malaria will be re-established in a specific area after its elimination
relapse,Recurrence of asexual parasitaemia in P. vivax or P. ovale infections arising from hypnozoites
repellent,"Any substance that causes avoidance in mosquitoes, especially substances that deter them from settling on the skin of the host (topical repellent) or entering an area or room (area repellent, spatial repellent, excito- repellent)"
resistance,"(See Drug resistance, Insecticide resistance)"
"ring form (ring stage, ring-stage trophozoite)","Young, usually ring-shaped malaria trophozoites, before pigment is evident by microscopy"
schizont,"Stage of the malaria parasite in host liver cells (hepatic schizont) or red blood cells (erythrocytic schizont) that is undergoing nuclear division by schizogony and, consequently, has more than one nucleus"
screening,"Identification of groups at risk that may require further intervention, such as diagnostic testing, treatment or preventive services"
seasonal malaria chemoprevention,"Intermittent administration of full treatment courses of an antimalarial medicine to children at risk of severe malaria, to prevent malarial illness in areas with seasonal malaria. The objective is to maintain therapeutic concentrations of an antimalarial drug in the blood throughout the period of greatest risk for malaria."
selection pressure,The force of an external agent that confers preferential survival; examples are the pressure of antimalarial medicines on malaria parasites and of insecticides on anopheline mosquitoes
sensitivity (of a test),Measured as the proportion of people with malaria infection (true positives) who have a positive result
serological assay,Procedure used to measure antimalarial antibodies in serum
