Outcome Timeframe,Study results and measurements,Comparator Artemether + lumefantrine,Intervention Dihydroartemisinin + piperaquine,Certainty of the evidence (Quality of evidence)
,(Randomized controlled),,,
Early vomiting,"Based on data from 2,695 participants in 3 studies. (Randomized controlled)",20 per 1000 Difference:,30 per 1000 10 more per 1000,Moderate Due to serious risk of bias 2
Vomiting,"Based on data from 6,761 participants in 9 studies. (Randomized controlled)",90 per 1000 Difference:,90 per 1000 0 fewer per 1000,Moderate Due to serious risk of bias 3
Nausea,Based on data from 547 participants in 2 studies. (Randomized controlled),20 per 1000 Difference:,20 per 1000 0 fewer per 1000,Low Due to serious risk of bias and serious imprecision 4
Diarrhoea,"Based on data from 4,889 participants in 7 studies. (Randomized controlled)",120 per 1000 Difference:,120 per 1000 0 fewer per 1000,Moderate Due to serious risk of bias 5
Abdominal pain,Based on data from 911 participants in 5 studies. (Randomized controlled),190 per 1000 Difference:,160 per 1000 30 fewer per 1000,Low Due to serious risk of bias and serious imprecision 6
Anorexia,"Based on data from 3,834 participants in 5 studies. (Randomized controlled)",150 per 1000 Difference:,140 per 1000 10 fewer per 1000,Moderate Due to serious risk of bias 7
Headache,Based on data from 309 participants in 2 studies. (Randomized controlled),270 per 1000 Difference:,330 per 1000 60 more per 1000,Low Due to serious risk of bias and serious imprecision 8
Sleeplessness,Based on data from 547 participants in 2 studies. (Randomized controlled),10 per 1000 Difference:,30 per 1000 20 more per 1000,Low Due to serious risk of bias and serious imprecision 9
Dizziness,Based on data from 547,30 per 1000,40 per 1000,Low Due to serious risk of bias and serious
