Col0,of a drug and important potential risks
merozoite,"Extracellular stage of a parasite released into host plasma when a hepatic or erythrocytic schizont ruptures;
the merozoites can then invade red blood cells."
"moderate to high
perennial transmission","Persistent P. falciparum transmission at rates which result in a parasite prevalence greater than 10%, or an
annual parasite incidence greater than 250 per 1000."
monotherapy,"Antimalarial treatment with a single active compound or a synergistic combination of two compounds with
related mechanisms of action"
national focus register,"Centralized database of all foci of malaria infection in a country, which includes relevant data on physical
geography, parasites, hosts and vectors for each focus"
"national malaria case
register",Centralized database with individual records of all malaria cases registered in a country
"net, insecticide-treated
(ITN)","Mosquito net that repels, disables or kills mosquitoes that come into contact with the insecticide on the
netting material. Insecticide treated nets (ITNs) include those that require treatment and retreatment (often
referred to as conventional nets) and those that are “long-lasting” (see definition of long-lasting insecticidal
net)."
oocyst,"The stage of malaria parasite that develops from the ookinete; the oocyst grows on the outer wall of the
midgut of the female mosquito."
oocyst rate,Percentage of female Anopheles mosquitoes with oocysts on the midgut
ookinete,Motile stage of malaria parasite after fertilization of macrogamete and preceding oocyst formation
parasitaemia,Presence of parasites in the blood
"parasitaemia,
asymptomatic",The presence of asexual parasites in the blood without symptoms of illness
parasite clearance time,"Time between first drug administration and the first examination in which no parasites are present in the
blood by microscopy"
parasite density,Number of asexual parasites per unit volume of blood or per number of red blood cells
"parasite density, low",Presence of Plasmodium parasites in the blood at parasite density below 100 parasites/μl
patent period,Period during which malaria parasitaemia is detectable
"perennial malaria
chemoprevention","Administration of a full treatment course of an antimalarial medicine at predefined intervals to children at risk
of severe malaria, in order to prevent illness in moderate to high perennial malaria transmission settings."
Plasmodium,"Genus of protozoan blood parasites of vertebrates that includes the causal agents of malaria. P. falciparum,
P. malariae, P. ovale and P. vivax cause malaria in humans. Human infection with the monkey malaria
parasite P. knowlesi and very occasionally with other simian malaria species may occur in tropical forest
areas."
population at risk,"Population living in a geographical area where locally acquired malaria cases have occurred in the past three
years"
"population, target","An implementation unit targeted for activities or services (e.g., prevention, treatment)"
"post-discharge malaria
chemoprevention","Administration of a full treatment course of an antimalarial medicine to children hospitalized for severe
anemia, starting at time of discharge from hospital and continuing at predefined intervals."
"pre-erythrocytic
development","Development of the malaria parasite from the time it first enters the host and invades liver cells until the
hepatic schizont ruptures"
pre-patent period,Period between inoculation of parasites and the first appearance of parasitaemia
prequalification,"Process to ensure that health products are safe, appropriate and meet stringent quality standards for
international procurement"
preventive,Use of medicines either alone or in combination to prevent malaria infections and their consequences
