Col0,deliberate efforts. Continued interventions are required to sustain control.
malaria elimination,"Interruption of local transmission (reduction to zero incidence of indigenous cases) of a specified malaria
parasite in a defined geographical area as a result of deliberate activities. Continued measures to prevent re-
establishment of transmission are required."
malaria eradication,"Permanent reduction to zero of the worldwide incidence of infection caused by human malaria parasites as a
result of deliberate activities. Interventions are no longer required once eradication has been achieved."
malaria infection,"Presence of Plasmodium parasites in blood or tissues, confirmed by diagnostic testing"
malaria mortality rate,Number of deaths from malaria per unit of population during a defined period
"malaria pigment
(haemozoin)","A brown-to-black granular material formed by malaria parasites as a by-product of haemoglobin digestion.
Pigment is evident in mature trophozoites and schizonts. It may also be phagocytosed by monocytes,
macrophages and polymorphonuclear neutrophils."
"malaria prevalence
(parasite prevalence)",Proportion of a specified population with malaria infection at one time
malaria rebound,"Increased malaria incidence following time-limited reduction of malaria transmission (through effective
interventions such as chemoprevention, vaccination or vector control), when the population becomes
exposed to more transmission"
malaria receptivity,"Degree to which an ecosystem in a given area at a given time allows for the transmission of Plasmodium spp.
from a human through a vector mosquito to another human."
malaria reintroduction,"The occurrence of introduced cases (cases of the first-generation local transmission that are
epidemiologically linked to a confirmed imported case) in a country or area where the disease had previously
been eliminated"
malaria risk stratification,"Classification of geographical areas or localities according to factors that determine receptivity and
vulnerability to malaria transmission"
malaria stratification,"Classification of geographical areas or localities according to epidemiological, ecological, social and
economic determinants for the purpose of guiding malaria interventions"
"malaria, cross-border",Malaria transmission associated with the movement of individuals or mosquitoes across borders
malaria-free,"Describes an area in which there is no continuing local mosquito-borne malaria transmission and the risk for
acquiring malaria is limited to infection from introduced cases"
malariogenic potential,"Potential level of transmission in a given area arising from the combination of malaria receptivity, importation
rate of malaria parasites and infectivity"
malariometric survey,"Survey conducted in a representative sample of selected age groups to estimate the prevalence of malaria
and coverage of interventions"
malarious area,Area in which transmission of malaria is occurring or has occurred during the preceding three years
"mass drug
administration (MDA)","Administration of full treatment course of an antimalarial to all age groups of a population in a defined
geographical area (except those for whom the medicine is contraindicated) at approximately the same time
and often at repeated intervals"
mass screening,"Population-wide assessment of risk factors for malaria infection to identify subgroups for further intervention,
such as diagnostic testing, treatment or preventive services"
"mass screening, testing
and treatment","Screening of an entire population for risk factors, testing individuals at risk and treating those with a positive
test result"
"mass testing and focal
drug administration","Testing a population and treating groups of individuals or entire households in which one or more infections is
detected"
"mass testing and
treatment","Parasitological screening of the entire population of a delimited geographical area and treating those with a
positive test result at approximately the same time"
medicine safety,"Characteristics of a medicine that reflects its potential to cause harm, including the important identified risks"
