severe anaemia,Haemoglobin concentration of < 5 g/100 mL (haematocrit < 15%)
"severe falciparum
malaria",Acute falciparum malaria with signs of severe illness and/or evidence of vital organ dysfunction
single-dose regimen,Administration of a medicine as a single dose to achieve a therapeutic objective
slide positivity rate,Proportion of blood smears found to be positive for Plasmodium among all blood smears examined
specificity (of a test),Measured as the proportion of people without malaria infection (true negatives) who have a negative result
sporozoite,"Motile stage of the malaria parasite that is inoculated by a feeding female anopheline mosquito and may
cause infection"
sporozoite rate,Percentage of female Anopheles mosquitoes with sporozoites in the salivary glands
spray round,"Spraying of all sprayable structures in an area designated for coverage in an indoor residual spraying
programme during a discrete period"
sprayable,"In the context of a malaria vector control programme, a unit (dwelling, house, room, shelter, structure,
surface) suitable for spraying or required to be sprayed"
spraying cycle,"Repetition of spraying operations at regular intervals, often designated in terms of the interval between
repetitions, e.g., a 6-month spraying cycle when spraying is repeated after a 6-month interval"
spraying frequency,"Number of regular applications of insecticide per house per year, usually by indoor residual spraying"
spraying interval,Time between successive applications of insecticide
"spraying, focal","Spray coverage by indoor residual spraying and/or space spraying of houses or habitats in a limited
geographical area"
"spraying, residual (IRS)","Spraying the interior walls and ceilings of dwellings with a residual insecticide to kill or repel endophilic
mosquito vectors of malaria"
surveillance,"Continuous, systematic collection, analysis and interpretation of disease-specific data and use in planning,
implementing and evaluating public health practice"
"surveillance,
entomological","The regular, systematic collection, analysis and interpretation of entomological data for risk assessment,
planning, implementation, monitoring and evaluation of vector control interventions"
"targeted drug
administration","Administration of a full treatment course of an antimalarial medicine to individuals at increased risk of malaria
infection compared to the general population."
"targeted testing and
treatment","Parasitological screening of individuals at increased risk of malaria infection compared to the general
population and treating those with a malaria positive test result."
"testing, malaria",Use of a malaria diagnostic test to determine whether an individual has malaria infection
tolerance,"A response in a human or mosquito host to a given quantum of infection, toxicant or drug that is less than
expected"
transmission intensity,"The frequency with which people living in an area are bitten by anopheline mosquitoes carrying human
malaria sporozoites"
transmission season,Period of the year during which most mosquito-borne transmission of malaria infection occurs
"transmission, re-
establishment of","Renewed presence of a measurable incidence of locally acquired malaria infection due to repeated cycles of
mosquito-borne infections in an area in which transmission had been interrupted"
"transmission,
interruption of","Cessation of mosquito-borne transmission of malaria in a geographical area as a result of the application of
antimalarial measures"
"transmission, perennial",Transmission that occurs throughout the year with no great variation in intensity
"transmission, residual","Persistence of malaria transmission following the implementation in time and space of a widely effective
malaria programme"
"transmission, seasonal",Transmission that occurs only during some months of the year and is markedly reduced during other months
