PDMC,post-discharge malaria chemoprevention
PICO,"population, participants or patients; intervention or indicator; comparator or control; outcome"
PMC,perennial malaria chemoprevention
POE,points of entry
PPC,preferred product characteristic
PQ,prequalification (WHO)
pLDH,parasite-lactate dehydrogenase
Pvdhfr,Plasmodium vivax dihydrofolate reductase gene
PYAr,person-years at risk
QC,quality control
RACDT,reactive case detection and treatment
RCT,randomized controlled trial
RD,risk difference
RDA,reactive drug administration
RDT,rapid diagnostic test
RR,"relative risk, or risk ratio"
RST,residual surface treatment
SAE,serious adverse event
SP,sulfadoxine pyrimethamine
SP + AQ,sulfadoxine-pyrimethamine + amodiaquine
SP + AS,sulfadoxine-pyrimethamine + artesunate
SMC,seasonal malaria chemoprevention
TDA,targeted drug administration
TES,therapeutic efficacy study
TQ,tafenoquine
TTaT,targeted testing and treatment
UHC,universal health coverage
UN,United Nations
VCAG,Vector Control Advisory Group
VCTEG,Vector Control Technical Expert Group
WHO,World Health Organization
