"Outcome
Timeframe",Study results and measurements,"Comparator
Artemether + lumefantrine","Intervention
Dihydroartemisinin +
piperaquine","Certainty of the
evidence
(Quality of evidence)"
,"participants in 2 studies.
(Randomized controlled)",Difference:,10 more per 1000,imprecision 10
Sleepiness,"Based on data from 384
participants in 1 studies.
(Randomized controlled)","0
per 1000
Difference:","0
per 1000
0 fewer per 1000","Low
Due to serious risk of
bias and serious
imprecision 11"
Weakness,"Based on data from 1,812
participants in 5 studies.
(Randomized controlled)","170
per 1000
Difference:","180
per 1000
10 more per 1000","Moderate
Due to serious risk of
bias 12"
Cough,"Based on data from 4,342
participants in 5 studies.
(Randomized controlled)","420
per 1000
Difference:","420
per 1000
0 fewer per 1000","Moderate
Due to serious risk of
bias 13"
Coryza,"Based on data from 832
participants in 2 studies.
(Randomized controlled)","680
per 1000
Difference:","660
per 1000
20 fewer per 1000","Low
Due to serious
imprecision 14"
"Prolonged QT
interval (adverse
event)","Based on data from 1,548
participants in 1 studies.
(Randomized controlled)","30
per 1000
Difference:","20
per 1000
10 fewer per 1000","Low
Due to serious
imprecision and serious
risk of bias 15"
"Prolonged QT
interval (Bazett
correction)","Based on data from 1,548
participants in 1 studies.
(Randomized controlled)","70
per 1000
Difference:","90
per 1000
20 more per 1000","Low
Due to serious
imprecision and serious
risk of bias 16"
"Prolonged QT
interval (Fridericia
correction)","Based on data from 1,548
participants in 1 studies.
(Randomized controlled)","0
per 1000
Difference:","0
per 1000
0 fewer per 1000","Low
Due to serious risk of
bias and serious
imprecision 17"
Pruritus,"Based on data from 2,033
participants in 5 studies.
(Randomized controlled)","20
per 1000
Difference:","40
per 1000
20 more per 1000","Moderate
Due to serious risk of
bias 18"
,,,,
